abbrev,measDate,value,measUnit
CLAFTCCO,2021-05-14,1040,cfs
CLAFTCCO,2021-05-15,1160,cfs
CLAFTCCO,2021-05-16,1260,cfs
CLAFTCCO,2021-05-17,1380,cfs
CLAFTCCO,2021-05-18,1440,cfs
CLAFTCCO,2021-05-19,1820,cfs
CLAFTCCO,2021-05-20,1650,cfs
CLAFTCCO,2021-05-21,1850,cfs
CLAFTCCO,2021-05-22,1780,cfs
CLAFTCCO,2021-05-23,2660,cfs
CLAFTCCO,2021-05-24,2180,cfs
CLAFTCCO,2021-05-25,1920,cfs
CLAFTCCO,2021-05-26,1870,cfs
CLAFTCCO,2021-05-27,1700,cfs
CLAFTCCO,2021-05-28,1730,cfs
CLAFTCCO,2021-05-29,1680,cfs
CLAFTCCO,2021-05-30,1630,cfs
CLAFTCCO,2021-05-31,1530,cfs
CLAFTCCO,2021-06-01,1560,cfs
CLAFTCCO,2021-06-02,1510,cfs
CLAFTCCO,2021-06-03,1550,cfs
CLAFTCCO,2021-06-04,1760,cfs
CLAFTCCO,2021-06-05,2020,cfs
CLAFTCCO,2021-06-06,2170,cfs
CLAFTCCO,2021-06-07,2350,cfs
CLAFTCCO,2021-06-08,2390,cfs
CLAFTCCO,2021-06-09,2240,cfs
CLAFTCCO,2021-06-10,2030,cfs
CLAFTCCO,2021-06-11,1870,cfs
CLAFTCCO,2021-06-12,1610,cfs
CLAFTCCO,2021-06-13,1510,cfs
CLAFTCCO,2021-06-14,1500,cfs
CLAFTCCO,2021-06-15,1580,cfs
CLAFTCCO,2021-06-16,1680,cfs
CLAFTCCO,2021-06-17,1470,cfs
CLAFTCCO,2021-06-18,1360,cfs
CLAFTCCO,2021-06-19,1240,cfs
CLAFTCCO,2021-06-20,1250,cfs
CLAFTCCO,2021-06-21,1130,cfs
CLAFTCCO,2021-06-22,1040,cfs
CLAFTCCO,2021-06-23,949,cfs
CLAFTCCO,2021-06-24,876,cfs
CLAFTCCO,2021-06-25,939,cfs
CLAFTCCO,2021-06-26,1010,cfs
CLAFTCCO,2021-06-27,928,cfs
CLAFTCCO,2021-06-28,856,cfs
CLAFTCCO,2021-06-29,763,cfs
CLAFTCCO,2021-06-30,701,cfs
CLAFTCCO,2021-07-01,847,cfs
CLAFTCCO,2021-07-02,797,cfs
CLAFTCCO,2021-07-03,812,cfs
CLAFTCCO,2021-07-04,764,cfs
CLAFTCCO,2021-07-05,772,cfs
CLAFTCCO,2021-07-06,892,cfs
CLAFTCCO,2021-07-07,758,cfs
CLAFTCCO,2021-07-08,629,cfs
CLAFTCCO,2021-07-09,556,cfs
CLAFTCCO,2021-07-10,520,cfs
CLAFTCCO,2021-07-11,473,cfs
CLAFTCCO,2021-07-12,436,cfs
CLAFTCCO,2021-07-13,422,cfs
CLAFTCCO,2021-07-14,393,cfs
CLAFTCCO,2021-07-15,372,cfs
CLAFTCCO,2021-07-16,322,cfs
CLAFTCCO,2021-07-17,288,cfs
CLAFTCCO,2021-07-18,279,cfs
CLAFTCCO,2021-07-19,265,cfs
CLAFTCCO,2021-07-20,242,cfs
CLAFTCCO,2021-07-21,599,cfs
CLAFTCCO,2021-07-22,376,cfs
CLAFTCCO,2021-07-23,306,cfs
CLAFTCCO,2021-07-24,291,cfs
CLAFTCCO,2021-07-25,303,cfs
CLAFTCCO,2021-07-26,309,cfs
CLAFTCCO,2021-07-27,284,cfs
CLAFTCCO,2021-07-28,267,cfs
CLAFTCCO,2021-07-29,275,cfs
CLAFTCCO,2021-07-30,254,cfs
CLAFTCCO,2021-07-31,406,cfs
CLAFTCCO,2021-08-01,502,cfs
CLAFTCCO,2021-08-02,403,cfs
CLAFTCCO,2021-08-03,556,cfs
CLAFTCCO,2021-08-04,833,cfs
CLAFTCCO,2021-08-05,577,cfs
CLAFTCCO,2021-08-06,458,cfs
CLAFTCCO,2021-08-07,602,cfs
CLAFTCCO,2021-08-08,590,cfs
CLAFTCCO,2021-08-09,532,cfs
CLAFTCCO,2021-08-10,502,cfs
CLAFTCCO,2021-08-11,410,cfs
